,chain,uri,success,error
0,terra,https://columbus-genesis.s3.ap-northeast-1.amazonaws.com/columbus-5-genesis.json,true,NaN
1,decentr,https://raw.githubusercontent.com/Decentr-net/mainnets/master/3.0/genesis.json,true,NaN
2,unification,https://raw.githubusercontent.com/unification-com/mainnet/master/latest/genesis.json > $HOME/.und_mainchain/config/genesis.json,false,URL can't contain control characters. '/unification-com/mainnet/master/latest/genesis.json > $HOME/.und_mainchain/config/genesis.json' (found at least ' ')
3,unification,https://raw.githubusercontent.com/unification-com/mainnet/master/latest/genesis.json > $HOME/.und_mainchain/config/genesis.json,true,NaN
4,cryptoorgchain,https://github.com/crypto-org-chain/mainnet/raw/main/crypto-org-chain-mainnet-1/genesis.json,true,NaN
5,cudos,https://github.com/CudoVentures/cudos-builders/blob/v1.0.0/docker/config/genesis.mainnet.json,false,Expecting value: line 8 column 1 (char 7)
6,cudos,https://github.com/CudoVentures/cudos-builders/blob/v1.0.0/docker/config/genesis.mainnet.json,true,NaN
7,migaloo,https://raw.githubusercontent.com/White-Whale-Defi-Platform/migaloo-chain/main/networks/mainnet/genesis.json,false,HTTP Error 404: Not Found
8,migaloo,https://raw.githubusercontent.com/White-Whale-Defi-Platform/migaloo-chain/main/networks/mainnet/genesis.json,true,NaN
9,sifchain,https://github.com/Sifchain/networks/blob/master/betanet/sifchain-1/genesis.json.gz?raw=true,false,'utf-8' codec can't decode byte 0x8b in position 1: invalid start byte
10,sifchain,https://github.com/Sifchain/networks/blob/master/betanet/sifchain-1/genesis.json.gz?raw=true,true,NaN
11,idep,https://github.com/IDEP-network/Antora/raw/main/genesis.json,true,NaN
12,mises,https://raw.githubusercontent.com/mises-id/mainnet/master/genesis.json,true,NaN
13,loyal,https://raw.githubusercontent.com/LoyalLabs/net/main/mainnet/genesis.json,true,NaN
14,octa,https://octa-coin-assets.s3.eu-central-1.amazonaws.com/genesis.json,false,HTTP Error 403: Forbidden
15,octa,https://octa-coin-assets.s3.eu-central-1.amazonaws.com/genesis.json,true,NaN
16,meme,https://github.com/memecosmos/mainnet/raw/main/meme-1/genesis.json,true,NaN
17,chronicnetwork,https://raw.githubusercontent.com/ChronicNetwork/net/main/mainnet/v1.1/genesis.json,true,NaN
18,microtick,https://raw.githubusercontent.com/microtick/stargate-genesis/master/genesis.json,true,NaN
19,agoric,https://main.agoric.net/genesis.json,false,HTTP Error 403: Forbidden
20,agoric,https://main.agoric.net/genesis.json,true,NaN
21,umee,https://raw.githubusercontent.com/umee-network/mainnet/main/genesis.json,true,NaN
22,carbon,https://github.com/Switcheo/carbon-bootstrap/raw/master/carbon-1/genesis.json,false,The read operation timed out
23,carbon,https://github.com/Switcheo/carbon-bootstrap/raw/master/carbon-1/genesis.json,true,NaN
24,stargaze,https://raw.githubusercontent.com/public-awesome/mainnet/main/stargaze-1/genesis.tar.gz,false,'utf-8' codec can't decode byte 0x8b in position 1: invalid start byte
25,stargaze,https://raw.githubusercontent.com/public-awesome/mainnet/main/stargaze-1/genesis.tar.gz,true,NaN
26,arkh,https://github.com/vincadian/arkh-blockchain/blob/master/genesis/genesis.json,false,Expecting value: line 8 column 1 (char 7)
27,arkh,https://github.com/vincadian/arkh-blockchain/blob/master/genesis/genesis.json,true,NaN
28,bandchain,https://raw.githubusercontent.com/bandprotocol/launch/master/laozi-mainnet/genesis.json,true,NaN
29,genesisl1,https://github.com/alpha-omega-labs/genesisd/raw/neolithic/genesis_29-1-state/genesis.json,true,NaN
30,comdex,https://comdex-mainnet-genesis.s3.ap-southeast-1.amazonaws.com/genesis.json,true,NaN
31,thorchain,https://rpc.thorchain.info/genesis,false,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
32,thorchain,https://rpc.thorchain.info/genesis,true,NaN
33,chihuahua,https://raw.githubusercontent.com/ChihuahuaChain/chihuahua/main/mainnet/genesis.json,true,NaN
34,point,https://raw.githubusercontent.com/pointnetwork/point-chain-config/main/mainnet-1/genesis.json,true,NaN
35,akash,https://raw.githubusercontent.com/ovrclk/net/master/mainnet/genesis.json,true,NaN
36,stride,https://raw.githubusercontent.com/Stride-Labs/testnet/main/mainnet/genesis.json,true,NaN
37,dyson,https://gitlab.com/dysonproject/dyson-deploy/-/raw/develop/genesis.json,true,NaN
38,cosmoshub,https://github.com/cosmos/mainnet/raw/master/genesis/genesis.cosmoshub-4.json.gz,false,'utf-8' codec can't decode byte 0x8b in position 1: invalid start byte
39,cosmoshub,https://github.com/cosmos/mainnet/raw/master/genesis/genesis.cosmoshub-4.json.gz,true,NaN
40,aioz,https://archive.aioz.network/aioz_168-1/genesis.json,true,NaN
41,kava,https://kava-genesis-files.s3.us-east-1.amazonaws.com/kava_2222-10/genesis.json,true,NaN
